the              : 265364: определенный артикль
be               : 216236: быть, нужно, будь
and              : 164059: и
of               : 123410: показывает принадлежность
a                : 118190: неопределённый артикль
to               : 117665: к, по направлению, указывает на инфинитив глагола
peril            :    213: риск
pony             :    213: пони
risk             :    213: рисковать, риск
shrug            :    213: пожимать плечами, авто)дергаться
steep            :    213: крутой
switch           :    213: переключать, выключать, ключ
chill            :    212: охлаждать, холод, простуда
extraordinary    :    212: поразительно, чрезвычайный
flesh            :    212: плоть
imagination      :    212: воображение
pin              :    212: прикалывать, штырек, штырьковый
pit              :    212: геол)шахта, косточка, яма
snarl            :    212: рычать, рычание
yawn             :    212: зевать
area             :    211: область
balance          :    211: балансировать, баланс, сбалансированный
declare          :    211: объявлять, заявлять
witness          :    211: свидетельствовать, свидетель
advice           :    210: совет, авизо, извещение
bowl             :    210: чашка, кубок, унитаз
connection       :    210: связь, соединение
demand           :    210: требовать, требование, экон)спрос
fifteen          :    210: пятнадцать, пятнадцати
relieve          :    210: облегчать, освобождать
tent             :    210: палатка
advantage        :    209: преимущество, выгода
affection        :    209: любовь
bolt             :    209: скреплять, запирать, болт, удар
confuse          :    209: спутывать
creak            :    209: скрипеть, скрип
deserve          :    209: заслуживать
nail             :    209: прибивать, гвоздь, ноготь
border           :    208: граничить, граница, край, граничный
cellar           :    208: подвал
footstep         :    208: след, шаг
frightful        :    208: ужасный
jerk             :    208: дергать, толчок
occupy           :    208: занимать
pet              :    208: баловать, домашнее, животное
reality          :    208: действительность
singular         :    208: единственный
succeed          :    208: получать, добиваться успеха, удаваться
survive          :    208: сохраняться, выживать
trouser          :    208: брючный
tumble           :    208: обрушивать, падение
uniform          :    208: униформа, однородный, равномерный, единый
arch             :    207: свод, арка
crush            :    207: дробить, дробление
ease             :    207: снижать, удобство
grateful         :    207: благодарный
marsh            :    207: болото, болотный
agent            :    206: агент
custom           :    206: обычай, потр)заказ, заказной
feast            :    206: праздник
fist             :    206: кулак
mass             :    206: массировать, масса, месса, массовый
nameless         :    206: безымянный
remarkable       :    206: замечательно, замечательный
stamp            :    206: отмечать, марка, штамп, отметка
suspicious       :    206: подозрительный
insist           :    205: настаивать
marble           :    205: мрамор, мраморный
plane            :    205: плоскость, самолет
plunge           :    205: погружать, падение
refer            :    205: отсылать, ссылаться
unusual          :    205: необычный, необычно
bath             :    204: ванна
consciousness    :    204: сознание
fate             :    204: судьба
hammer           :    204: заколачивать, молот
league           :    204: лига, союз
mansion          :    204: особняк
meat             :    204: мясо, мясной
affect           :    203: влиять на
bench            :    203: скамейка, верстак, станок
duke             :    203: герцог
grasp            :    203: понимать, понимание, хватка
lantern          :    203: фонарь
practical        :    203: практический
strip            :    203: удалять, полоса
weep             :    203: плакать
arrest           :    202: останавливать, задержание
broom            :    202: метла
hark             :    202: слушать
labour           :    202: трудиться, труд, рабочий
limb             :    202: конечность
papa             :    202: папа
practice         :    202: практиковать, практика
sensation        :    202: ощущение, сенсация
sin              :    202: грех
stride           :    202: шагать, большой, шаг
twilight         :    202: сумерки
buck             :    201: противодействовать, самец
center           :    201: центрировать, центр
discovery        :    201: открытие, конт)страх)обнаружение
discuss          :    201: обсуждать
pillar           :    201: колонна, столп
scale            :    201: масштабировать, шкала, масштабный
startle          :    201: пугать, поражать
twin             :    201: двойной
whip             :    201: хлестать, взбивать, хлыст, кнут
acquaintance     :    200: знакомство
false            :    200: ложь, ложный
feather          :    200: перо
outer            :    200: внешний
thumb            :    200: большой, палец, поворотный
urge             :    200: понуждать, убеждать
centre           :    199: центрировать, центр, центральный
gloomy           :    199: мрачный
inquiry          :    199: вопрос, запрос
nurse            :    199: нянчить, сестра
prefer           :    199: предпочитать
sorrow           :    199: печаль, печальный
weird            :    199: странный
astonish         :    198: удивлять
band             :    198: связывать, полоса, оркестр, ленточный
brow             :    198: бровь
building         :    198: строить, инф)формировать, построение, здание, строительный
click            :    198: щелкать, щелчок
hush             :    198: успокаивать, тишина
jack             :    198: джек, инф)гнездо, домкрат
palace           :    198: дворец, дворцовый
palm             :    198: ладонь, пальма
reflection       :    198: отражение
request          :    198: просить, инф)запрашивать, просьба, инф)запрос
sideway          :    198: окольный, путь
slam             :    198: захлопывать, хлопанье
sunlight         :    198: солнечный свет
unlike           :    198: в отличие от
explanation      :    197: объяснение
farewell         :    197: прощание, прощальный
ham              :    197: ветчина
health           :    197: здоровье
limit            :    197: ограничивать, предел
uncomfortable    :    197: неудобный
accompany        :    196: сопровождать
citizen          :    196: гражданин
deny             :    196: отвергать, отрицать
distinct         :    196: четкий
example          :    196: пример
grant            :    196: предоставлять, дар, конт)предоставление, субсидия, стипендия
nearby           :    196: соседний
cell             :    195: ячейка, мед)клетка
extra            :    195: дополнительный
lunch            :    195: завтракать, ленч
platform         :    195: платформа
polish           :    195: шлифовать, отделка, польский
possession       :    195: владение
stain            :    195: пятнать, пятно
suggestion       :    195: предложение
theory           :    195: теория
cage             :    194: помещать в клетку, клетка
cart             :    194: повозка
incline          :    194: отклоняться
introduce        :    194: вводить, представлять
mortal           :    194: смертельный
needle           :    194: игла
nonsense         :    194: бессмыслица
price            :    194: оценивать, цена
absence          :    193: отсутствие, отсутствующий
pen              :    193: сочинять, ручка, загон
social           :    193: общественный, социальный
stock            :    193: акция, запас, фондовый
sufficient       :    193: достаточный
faster           :    192: быстрее, более быстрый
hello            :    192: привет
hook             :    192: перехватывать, захват, рычажный
inner            :    192: внутренний
nightmare        :    192: кошмар
process          :    192: обрабатывать, процесс
sparkler         :    192: шутиха
venture          :    192: осмеливаться, предприятие
basket           :    191: корзина
chap             :    191: трещина
chimney          :    191: труба
lett             :    191: латыш
link             :    191: связывать, связь, прес)ссылка
milk             :    191: доить, молоко, молочный
persuade         :    191: убеждать
similar          :    191: аналогичный, подобный
skill            :    191: умение
subtle           :    191: тонкий
sway             :    191: колебатьсяР)отклоняться, колебание
tread            :    191: идти, шаг
bold             :    190: жирный шрифт, смелый
cake             :    190: спекаться, торт, кусок
carve            :    190: резать
female           :    190: самка, женщина, женский
physical         :    190: медицинский, осмотр, физический
purple           :    190: пурпурный
silk             :    190: шелк, шелковый
stoop            :    190: наклонять
tick             :    190: тикать, метка
value            :    190: оценивать, величина, значение
bush             :    189: кустарник, буш
deliver          :    189: доставлять
feeble           :    189: хилый
gift             :    189: дар (подарок), артс)талант
hey              :    189: эй
pattern          :    189: формировать, образец
realm            :    189: область
represent        :    189: представлять
seldom           :    189: редко
smaller          :    189: меньше, меньший
thorough         :    189: тщательный
base             :    188: базировать, база, базовый
demon            :    188: демон
fragment         :    188: фрагментировать, фрагмент
gay              :    188: веселый
mood             :    188: настроение
preserve         :    188: сохранять
tender           :    188: предлагать, предложение, нежный, тендерный
unable           :    188: не в состоянии
unconscious      :    188: бессознательный
abandon          :    187: покидать, отказываться от
distress         :    187: беспокоить, авария, огорчение
ere              :    187: перед, прежде чем
spite            :    187: злость
french           :    186: французский, по-французски, франко
perceive         :    186: воспринимать
property         :    186: собственность, свойство
statue           :    186: статуя
toe              :    186: палец ноги
cost             :    185: стоить, стоимость
cottage          :    185: коттедж, домашний
develop          :    185: разрабатывать, разработка, фото)проявлять
individual       :    185: личность, индивидуальный
intent           :    185: намерение, пристальный
scholar          :    185: ученый
tide             :    185: прилив и отлив, поток, течение
barrel           :    184: бочка, баррель, барабанный
bundle           :    184: связывать в узел, пучок
partner          :    184: партнер
photograph       :    184: фотографировать, фотография
pierce           :    184: прокалывать
scent            :    184: аромат, запах, духи
daylight         :    183: дневной, свет
official         :    183: чиновник, официальный
propose          :    183: предлагать, предложение
relation         :    183: отношение
sensible         :    183: значительный
terrify          :    183: ужасать
threaten         :    183: угрожать
ash              :    182: зола, пепел, ясень
chase            :    182: гнаться, погоня
eyebrow          :    182: бровь
fruit            :    182: плод, фрукт, фруктовый
grief            :    182: горе
market           :    182: экон)реализовать, рынок, рыночный
mask             :    182: маскировать, маска
melt             :    182: плавить, таять, плавка
midst            :    182: среди
player           :    182: игрок
restore          :    182: восстанавливать, восстановление
rouse            :    182: будить
sleeve           :    182: рукав
tomb             :    182: могила
yield            :    182: давать, уступать, сдаваться, продукт
bore             :    181: сверлить, бурить, надоедать, отверстие, зануда
collar           :    181: воротник
consequence      :    181: последствие, последовательность
foreign          :    181: иностранный
greet            :    181: приветствовать
range            :    181: колебаться, дипазон, область
rescue           :    181: спасать, освобождение
champion         :    180: чемпион
depend           :    180: зависеть
drown            :    180: тонуть
eventual         :    180: возможный
filch            :    180: стащить
foul             :    180: грязный, бесчестный
goodness         :    180: хорошее, качество
holiday          :    180: праздник
loom             :    180: виднеться, надвигаться, ткацкий, станок
mill             :    180: молоть, фрезеровать, фабрика, мельница
potion           :    180: зелье
score            :    180: оценивать, засчитываться, оценка, счет, метка
success          :    180: успех
wink             :    180: мигать, миг
announce         :    179: заявлять
arrangement      :    179: размещение
article          :    179: прес)статья
attach           :    179: подключать, прилагать
blush            :    179: краснеть
cautious         :    179: осторожный
favour           :    179: польза
hug              :    179: обнимать, объятие
newspaper        :    179: граф)газета, газетный
royal            :    179: королевский
wherever         :    179: где бы ни, где бы (куда бы)
wretch           :    179: несчастный
clue             :    178: ключ
dash             :    178: бросаться, бросок
extend           :    178: расширять, распространять, расширенный
faithful         :    178: верный
kingdom          :    178: королевство
profound         :    178: глубокий
resume           :    178: продолжать, резюме, итоговый
shove            :    178: толкать
conduct          :    177: проводить, поведение
noon             :    177: полдень
president        :    177: президент
shed             :    177: распространять
shell            :    177: оболочка
sunday           :    177: воскресенье, воскресный, в воскресенье
agree            :    176: соглашаться, договариваться, согласовывать
angle            :    176: угол
auditor          :    176: аудитор, аудиторский
disguise         :    176: маскировать, маскировка
eleven           :    176: одиннадцать, одиннадцати
perform          :    176: выполнять
coin             :    175: монета
darling          :    175: дорогой
drawer           :    175: трассант, секция, ящик
liberty          :    175: свобода, свободный
lurk             :    175: притаиться
positive         :    175: положительный
resist           :    175: сопротивляться, противостоять
reward           :    175: награждать, вознаграждение
belief           :    174: убеждение
coffin           :    174: гроб
courage          :    174: смелость
dimension        :    174: измерение
grandfather      :    174: дед
librarian        :    174: библиотекарь
swear            :    174: присягать, клясться, ругаться
tin              :    174: лудить, банка, олово, жесть, жестяной
urgent           :    174: неотложный
valentine        :    174: валентин
bid              :    173: предлагать, приказывать, предложение, попытка, тендерный
bunch            :    173: связка, пучок, группа
flood            :    173: затоплять, наводнение
hearty           :    173: искренний
heave            :    173: бросать, вздыматься, рвать, бросок
lack             :    173: недоставать, недостаток, отсутствие
lid              :    173: крышка
mud              :    173: грязь
snatch           :    173: хватать
stare            :    173: смотреть, пристально
thread           :    173: заправлять, резьба, нить
widow            :    173: вдова
afford           :    172: предоставлять, позволить себе
butter           :    172: масло
comrade          :    172: товарищ
instance         :    172: пример
outline          :    172: очерчивать, схема, эскиз, структурированный
parchment        :    172: пергамент, пергаментный
wire             :    172: телеграфировать, провод, проводной
envelope         :    171: докм)конверт, групповой
foolish          :    171: глупый
harder           :    171: труднее, тверже, более упорно, более трудный
incredible       :    171: невероятный
modern           :    171: современный
ponder           :    171: обдумывать
praise           :    171: хвалить, похвала
reference        :    171: ссылаться, ссылка
rob              :    171: грабить, роб
supreme          :    171: высший, верховный
aim              :    170: стремиться, цель
grace            :    170: грация
knight           :    170: рыцарь
panic            :    170: паниковать, паника
bomb             :    169: бомбить, бомба, бомбовый
counsel          :    169: рекомендовать, совещание
dislike          :    169: испытывать, неприязнь к, антипатия
glove            :    169: перчатка
lap              :    169: колено, круг
sinister         :    169: зловещий
stagger          :    169: потрясать, шататься
symbol           :    169: символ, символьный
bigger           :    168: больше, больший
burden           :    168: перегружать, бремя, ноша
collect          :    168: собирать
fourth           :    168: четвертый
grip             :    168: захватывать, зажим, чемодан
ladder           :    168: лестница, цепная схема
pitch            :    168: бросать, шаг
pot              :    168: горшок
protect          :    168: защищать, защита
reluctant        :    168: сопротивляющийся
unit             :    168: устройство, подразделение (воен)
abroad           :    167: за границей
bat              :    167: бить, дубинка, командный файл, летучая мышь
capture          :    167: захватывать, сбор
downstairs       :    167: внизу
freedom          :    167: свобода
importance       :    167: значение
inn              :    167: гостиница
invite           :    167: приглашать
jordan           :    167: иордания, иорданский
massive          :    167: огромный
wit              :    167: ум
amongst          :    166: среди
concentrate      :    166: концентрировать
consideration    :    166: соображение
crazy            :    166: сумашедший
helmet           :    166: каска
linger           :    166: задерживаться
messenger        :    166: посыльный
mock             :    166: высмеивать, фиктивный
safety           :    166: безопасность, безопасный
triumph          :    166: торжествовать, триумф
wisdom           :    166: мудрость
american         :    165: американец, американский, америко
chocolate        :    165: шоколад, шоколадный
cluster          :    165: окружать, группа, кластерный
jacket           :    165: куртка, суперобложка, конверт
rage             :    165: бушевать, ярость
reef             :    165: риф
sofa             :    165: диван
basil            :    164: базилик
compliment       :    164: приветствовать, комплимент
fascinate        :    164: увлекать
ghoul            :    164: вампир
hoarse           :    164: хриплый
improve          :    164: улучшать
log              :    164: регистрировать, бревно, регистрация, инф)протокол, журнал, регистрационный
peter            :    164: питер
skirt            :    164: юбка
slay             :    164: убивать
sum              :    164: суммировать, сумма, итог
supple           :    164: гибкий
swell            :    164: распухать
agreeable        :    163: приемлемый, отвечающий
apple            :    163: яблоко, инф)И)эппл, яблочный
confusion        :    163: неразбериха
device           :    163: устройство
devote           :    163: посвящать себя
downward         :    163: вниз, спад
fleet            :    163: флот
frame            :    163: фрейм, фреймовый
overhead         :    163: наверху, подвесной, потеря
pop              :    163: выталкивать
split            :    163: разделять, разделение, разделенный
stroll           :    163: бродить, прогуливаться
assemble         :    162: собирать, монтировать
beer             :    162: пиво
boil             :    162: кипятить, кипеть, варить, фурункул
boom             :    162: грохотать, процветать, расти, бум, грохот, подъем, шумный
complain         :    162: жаловаться
delay            :    162: задерживать, задержка
edward           :    162: эдвард
flap             :    162: развеваться, взмах
focus            :    162: фокусировать, фокус
fond             :    162: любящий
jewel            :    162: драгоценность, драгоценный камень
panel            :    162: обшивать, панель, панельный
prince           :    162: принц, князь
shawn            :    162: шон
sleepy           :    162: сонный
tug              :    162: буксировать, буксир
amuse            :    161: забавлять
ankh             :    161: крест
carpet           :    161: ковер
confess          :    161: признавать
counter          :    161: счетчик, прилавок, встречный
glint            :    161: блестеть, блеск
government       :    161: союз)правительство, инф)руководство, государственный, правительственный
impress          :    161: производить впечатление
relate           :    161: связывать
ridge            :    161: гребень
specter          :    161: призрак
squeak           :    161: скрипеть, скрип
suck             :    161: сосать
tuck             :    161: подоткнуть, вытачка
description      :    160: описание
hunter           :    160: охотник
irish            :    160: ирландский
mild             :    160: мягкий
mistress         :    160: госпожа
permit           :    160: разрешать, разрешение
protest          :    160: протестовать против, протестовать, протест
ticket           :    160: билет, удостоверение
unlock           :    160: деблокировать
disappoint       :    159: разочаровывать
gang             :    159: комплект, галетный
issue            :    159: выпускать, передавать, передача, прес)выпуск
obtain           :    159: получать
oil              :    159: смазывать, нефть, авто)артс)масло, масляный, нефтяной
progress         :    159: развиваться, прогресс
rumble           :    159: громыхать, грохот
sniff            :    159: нюхать, шмыгать
glide            :    158: скользить, планировать
lest             :    158: если
obscure          :    158: затемнять, затемненный
veil             :    158: вуалировать, вуаль
amidst           :    157: среди
artist           :    157: артс)художник
camera           :    157: камера
cheap            :    157: дешевый
disgust          :    157: вызывать отвращение, отвращение
flush            :    157: сбрасывать, промывать, краска
friendship       :    157: дружба
parlour          :    157: гостиная
sailor           :    157: моряк
sheer            :    157: чистый, абсолютный
specimen         :    157: образец, типовой
ashamed          :    156: стыдно
axe              :    156: топор
brood            :    156: выводок
conclusion       :    156: вывод
ink              :    156: чернила, артс)краска, чернильный
mumble           :    156: бормотать, бормотание
owner            :    156: владелец
pie              :    156: пирог
quiver           :    156: дрожать, колчан
ankle            :    155: щиколотка
anymore          :    155: больше
bubble           :    155: пузырь, пузырьковый
clerk            :    155: клерк
idle             :    155: ожидание, холостой, праздный, ленивый
interval         :    155: интервал
muscle           :    155: мускул, мышца
pressure         :    155: давление
radio            :    155: радио
ray              :    155: луч, рэй
spear            :    155: пронзать, копье
unpleasant       :    155: неприятный
cavern           :    154: пещера
darken           :    154: темнеть
decision         :    154: решение
fence            :    154: огораживать, фехтовать, ограждение
harsh            :    154: жесткий
instruction      :    154: инструкция, команда
limp             :    154: хромать
possibility      :    154: возможность
spectacle        :    154: зрелище
torture          :    154: пытать, пытка
victim           :    154: жертва
arrival          :    153: прибытие, поступление
broomstick       :    153: метла
clasp            :    153: прижимать, застегиваться, застежка, пожатие
encourage        :    153: способствовать, содействовать, поощрительный
exercise         :    153: осуществлять, упражнение
favourite        :    153: любимый
ocean            :    153: океан, океанский
punch            :    153: перфорировать, перфоратор
render           :    153: предоставлять
rip              :    153: разрывать
sack             :    153: ссыпать, грабить, мешок, грабеж
whirl            :    153: кружить
wick             :    153: фитиль
attract          :    152: привлекать
bleed            :    152: кровоточить
ernest           :    152: эрнест
fright           :    152: испуг
heal             :    152: излечивать, заживать
kindness         :    152: доброта
net              :    152: сеть, нетто, чистый
oxford           :    152: оксфорд
patrician        :    152: патриций
science          :    152: наука
style            :    152: стиль
sweeper          :    152: подметальщик
audience         :    151: аудитория, публика, аудиенция
clad             :    151: одевать, одетый
gigantic         :    151: гигантский
lawn             :    151: газон
professional     :    151: профессионал, профессиональный
unexpected       :    151: неожиданный
university       :    151: университет, университетский
violet           :    151: фиалка, фиолетовый
awkward          :    150: неудобный
buzz             :    150: жужжать
cough            :    150: кашлять, кашель
dish             :    150: подавать, блюдо
fang             :    150: клык
muffle           :    150: закутывать, глушить
pillow           :    150: подушка
shield           :    150: элек)экранировать, защищать, экран
slave            :    150: раб, дублирующий
alas             :    149: увы
breeze           :    149: бриз
drip             :    149: капать
exhaust          :    149: исчерпывать, выхлоп, выпускной, выхлопной
hover            :    149: реять, колебаться
quest            :    149: поиски
severe           :    149: серьезный
tend             :    149: иметь тенденцию, стремиться
anxiety          :    148: беспокойство
appeal           :    148: юрид)апеллировать, обращаться, апелляция
astonishment     :    148: удивление
cable            :    148: телеграфировать, кабель, телеграмма, кабельный
consult          :    148: обращаться к, инф)получать
drum             :    148: барабанить, барабан
electric         :    148: электрический
haul             :    148: тянуть, транспортировка, связь
knot             :    148: завязывать узлом, узел
proof            :    148: доказательство, устойчивый
relative         :    148: относительный
reserve          :    148: резервировать, резерв, резервный
sentence         :    148: предложение, приговор
spark            :    148: искра
tray             :    148: поддон
aspect           :    147: аспект
bathroom         :    147: ванная
column           :    147: колонна, инф)прог)столбец
eastern          :    147: восточный
encounter        :    147: встречать
farm             :    147: заниматься фермерством, ферма, сельскохозяйственный
justice          :    147: законность, судья
menace           :    147: угрожать, угроза
monk             :    147: монах
northern         :    147: северный
raft             :    147: плот
blackness        :    146: чернота
blanket          :    146: одеяло, покров, комплексный
casual           :    146: случайный
crumble          :    146: распадаться
eastward         :    146: к востоку, восточный
project          :    146: планировать, выступать, проект
tangle           :    146: запутывать
thou             :    146: хотя
alter            :    145: изменять
behold           :    145: созерцать
corpse           :    145: труп
damage           :    145: повреждать, ущерб, возмещение убытков, аварийный
duck             :    145: нагибаться, утка
fork             :    145: вилка
furniture        :    145: мебель, обстановка
heir             :    145: наследник
hopeful          :    145: многообещающий
orange           :    145: апельсин, апельсиновый
peep             :    145: подглядывать
per              :    145: за, на, в
port             :    145: переносить, порт
puff             :    145: пуховка
purchase         :    145: приобретать, приобретение
splendid         :    145: великолепный
worthy           :    145: достойный
birthday         :    144: день рождения
faith            :    144: вера
hasten           :    144: торопиться
military         :    144: воен)военный
morrow           :    144: завтра
notion           :    144: понятие
pig              :    144: свинья
prospect         :    144: искать, перспектива
saturday         :    144: суббота, субботний, в субботу
sip              :    144: глоток
straighten       :    144: выпрямлять
uncertain        :    144: неопределенный
upright          :    144: прямой
betray           :    143: предавать
breathe          :    143: дышать
communication    :    143: связь
crystal          :    143: кристалл, кристаллический
embrace          :    143: охватывать (обнимать), заключать, объятие
fortunate        :    143: удачный
grippe           :    143: грипп
gulf             :    143: залив
powder           :    143: пудрить, порошок, пудра, порох, порошковый
rail             :    143: бранить, шина, железнодорожный
rustle           :    143: шелестеть, шелест, шорох
unicorn          :    143: единорог
wail             :    143: вопить, вопль
argument         :    142: аргумент
clatter          :    142: цокать, цокот
grotesque        :    142: абсурдный
grunt            :    142: хрюкать, хрюкание
haste            :    142: опрометчивость
keeper           :    142: хранитель
lover            :    142: любовник
pavement         :    142: тротуар
pine             :    142: сосна
research         :    142: исследовать, исследование, научно-исследовательский
associate        :    141: соединять, ассоциировать, коллега
bed              :    141: постель, постельный, кровать, геол)пласт
delightful       :    141: прелестный
explore          :    141: изучать
flag             :    141: сигнализировать, флаг
marvel           :    141: дивиться, чудо
pursuit          :    141: поиск
savage           :    141: дикарь, дикий, жестокий
section          :    141: секция, раздел
tense            :    141: напрягать, время, напряженный
tremendous       :    141: огромный
upset            :    141: нарушать
advise           :    140: сообщать, совет, обдуманный
cream            :    140: сливки, крем, сливочный
dot              :    140: ставить точку, точка, точечный
drug             :    140: лекарство
fury             :    140: ярость
gracious         :    140: любезный
helm             :    140: руль
kitty            :    140: котенок
male             :    140: самец, мужской
mistaken         :    140: ошибаться, ошибочный
nay              :    140: нет
retreat          :    140: отступать, отступление
rim              :    140: обод
survey           :    140: осматривать, обследование, обзор, астр)съемка
traffic          :    140: движение, трафик
ultimate         :    140: окончательный
unseen           :    140: невидимый
western          :    140: западный
bounce           :    139: прыгать, скачок, рикошет, упругость
commit           :    139: совершать
criminal         :    139: преступник, уголовный
div              :    139: деление
doubtful         :    139: сомнительный
dungeon          :    139: темница
dusk             :    139: сумерки
eagle            :    139: орел
invent           :    139: изобретать
lick             :    139: лизать
nevertheless     :    139: тем не менее
observation      :    139: наблюдение, замечание
september        :    139: сентябрь, сентябрьский
stony            :    139: каменный
title            :    139: называть, название, титул, право
vein             :    139: вена
amid             :    138: среди
bug              :    138: жук, инф)дефект
cupboard         :    138: шкаф
humble           :    138: скромный
minister         :    138: министр, священник
mound            :    138: бугор, могильный холм
native           :    138: исконный
respectable      :    138: приличный, порядочный
sneak            :    138: красться, внезапный
tough            :    138: жесткий
birth            :    137: рождение
crook            :    137: сгиб
dusty            :    137: пыльный
fantastic        :    137: фантастический
glory            :    137: слава
non              :    137: не
slice            :    137: вырезать, вырезка
soar             :    137: повышаться, полет
underground      :    137: метрополитен, подземный кабель, подземный
volume           :    137: объем, том
wobbler          :    137: ненадежный человек
abrupt           :    136: внезапный, крутой
bosom            :    136: грудь
central          :    136: центральный
distinguish      :    136: различать, отличать
divide           :    136: делить
glare            :    136: фото)сверкать, блик
grope            :    136: нащупывать
mom              :    136: мама
ridiculous       :    136: нелепый
shelve           :    136: складывать на полку
sneer            :    136: насмехаться, издеваться, насмешка, усмешка
twinkle          :    136: мерцает, мерцание
deck             :    135: украшать, палуба, дек
drain            :    135: осушать, утечка
hedge            :    135: ограждать, хедж, живая изгородь
indicate         :    135: указывать, указание
misty            :    135: туманный
obey             :    135: подчиняться
rabbit           :    135: кролик
scarlet          :    135: алый
screw            :    135: завинчивать, винт, винтовой
slap             :    135: шлепать, шлепок
splash           :    135: плескать, плеск
toast            :    135: тост
undoubted        :    135: бесспорный
wed              :    135: #ср
accustom         :    134: приучать
bulge            :    134: раздуваться, выпуклость
collapse         :    134: рушиться, крах
expose           :    134: подвергать
generation       :    134: поколение, генерация
horizon          :    134: горизонт
perch            :    134: сидеть, окунь, насест
stout            :    134: толстяк, толстый, полный
await            :    133: ожидать
endure           :    133: выносить, длиться
explode          :    133: взрывать
lend             :    133: предоставлять, ссуда
poke             :    133: протыкать, тычок
protection       :    133: защита
rot              :    133: гнить, порча
shuffle          :    133: перемещать
sport            :    133: носить, спорт
stun             :    133: оглушать, ошеломлять
twitch           :    133: дергать, подергивание
brass            :    132: медь, медный
compare          :    132: сравнивать, сравнение
elsewhere        :    132: где-нибудь еще
ireland          :    132: ирландия
jar              :    132: банка
lore             :    132: знание
major            :    132: специализироваться, майор, мажор, основной, крупный, мажорный
nostril          :    132: ноздря
oak              :    132: дуб, дубовый
reasonable       :    132: разумный
sacrifice        :    132: жертвовать, жертва
trial            :    132: испытание, суд, опытный
bee              :    131: пчела, пчелиный
dublin           :    131: дублин
fearful          :    131: страшный
intense          :    131: интенсивный
merchant         :    131: торговец, коммерческий
nowhere          :    131: нигде, никуда
repair           :    131: исправлять, ремонт
troop            :    131: отряд, войсковой
extent           :    130: протяженность, степень
funeral          :    130: похороны
grove            :    130: роща
highest          :    130: самый верхний
item             :    130: пункт
leaf             :    130: лист
useless          :    130: бесполезный
utmost           :    130: крайний
admiration       :    129: восхищение
background       :    129: фон
data             :    129: инф) данные
hut              :    129: хижина
neighbourhood    :    129: окрестность
precise          :    129: точный
recollect        :    129: вспоминать
response         :    129: ответ
shelf            :    129: полка
warmth           :    129: тепло
weakness         :    129: слабость
weigh            :    129: взвешивать, весить
badge            :    128: символ
blur             :    128: смазывать
borrow           :    128: заимствовать, заем
capable          :    128: способный
jet              :    128: самолет, струя, реактивный
mankind          :    128: человечество
prompt           :    128: подсказывать, подсказка, инф)приглашение, быстрый, точно
shadowy          :    128: темный
smash            :    128: разбивать, столкновение
stray            :    128: паразитный, блуждаюший
successful       :    128: успешный
thomas           :    128: томас
trifle           :    128: шутить, мелочь, пустяк, безделушка
underneath       :    128: под
weave            :    128: ткать
amazement        :    127: удивление
exceeding        :    127: превышать, чрезвычайный
gaunt            :    127: изможденный
interview        :    127: опрашивать, интервью
mouse            :    127: мышь
pad              :    127: заполнять, панель, блокнот
plastic          :    127: пластмасса, пластический
swirl            :    127: кружить, вихрь
beach            :    126: берег
comment          :    126: комментировать, комментарий
glimmer          :    126: мерцать, мерцание
gown             :    126: платье
shallow          :    126: поверхностный, мелкий
thud             :    126: падать, глухой, звук
defeat           :    125: побеждать, поражение
majesty          :    125: величество
prayer           :    125: молитва
shaft            :    125: вал, шпиндель, шахта
southward        :    125: к югу, южный
spoon            :    125: ложка
throne           :    125: трон, тронный
wax              :    125: натирать, воск, восковый
bellow           :    124: мычать, мычание
contrary         :    124: обратный вопреки
embarrass        :    124: смущать
establish        :    124: устанавливать
jail             :    124: заключать в тюрьму, тюрьма, тюремный
mercy            :    124: милосердие
remembrance      :    124: память
respond          :    124: отвечать, реагировать, ответ
season           :    124: сезон
snort            :    124: фыркать
westward         :    124: к западу, западный
annoy            :    123: раздражать
brisk            :    123: живой
cigar            :    123: сигара, сигарный
cunning          :    123: хитрость, хитрый
hopeless         :    123: безнадежный
pencil           :    123: карандаш, карандашный
plot             :    123: вычерчивать, график
route            :    123: направлять, маршрут
solitary         :    123: одиночный
standard         :    123: стандарт, стандартный
superior         :    123: высший
web              :    123: сеть, паутина, перепонка, техн)ребро, перемычка
avenue           :    122: авеню
beckon           :    122: манить
bullet           :    122: пуля
chuckle          :    122: посмеиваться, смешок
cock             :    122: наклонять, петух
dispose          :    122: располагать
employ           :    122: применять, нанимать
fever            :    122: лихорадка
graceful         :    122: изящный, постепенный
hail             :    122: окликать, град
likewise         :    122: подобно
sore             :    122: рана, болезненный
waiter           :    122: официант
wrinkle          :    122: морщить, морщина
council          :    121: совет
fasten           :    121: прикреплять
fumble           :    121: нащупывать, ронять, терять
generous         :    121: великодушный, обильный
maid             :    121: девушка, горничная, служанка
myth             :    121: миф
nephew           :    121: племянник
steer            :    121: управлять
terrace          :    121: терраса
attitude         :    120: отношение
fireplace        :    120: камин
flare            :    120: вспышка
german           :    120: немец, немецкий, по-немецки, немецко
pinch            :    120: щипать, повышение
slop             :    120: мусор
trickle          :    120: сочиться, струйка
waist            :    120: талия
affectionate     :    119: нежный
autumn           :    119: осень, осенний
clumsy           :    119: неуклюжий
conclude         :    119: решать, конт)заключать
cow              :    119: корова, коровий
